Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,55.720001,56.389999,54.799999,56.180000,46.459301,6186700
2010-01-05,56.250000,58.279999,56.000000,58.020000,47.980946,8867800
2010-01-06,58.230000,59.990002,57.880001,59.779999,49.436413,8836500
2010-01-07,59.509998,62.310001,59.020000,62.200001,51.437691,14379100
2010-01-08,61.540001,61.779999,60.860001,61.599998,50.941509,7146600
2010-01-11,61.950001,62.090000,60.509998,60.869999,50.337822,5624900
2010-01-12,60.070000,61.200001,59.910000,60.430000,49.973942,5273800
2010-01-13,60.610001,61.700001,60.349998,61.160000,50.577637,4950400
2010-01-14,61.029999,61.619999,60.779999,61.560001,50.908428,3000400
2010-01-15,61.529999,61.560001,60.209999,60.820000,50.296471,5067300
2010-01-19,60.599998,61.009998,59.959999,60.650002,50.155876,5427100
2010-01-20,60.330002,60.570000,58.529999,60.200001,49.783749,5374100
2010-01-21,60.299999,61.259998,58.900002,59.200001,48.956760,5401300
2010-01-22,58.619999,59.169998,57.700001,57.770000,47.774200,4743300
2010-01-25,58.349998,58.750000,57.500000,57.779999,47.782475,3489900
2010-01-26,57.540001,58.500000,57.230000,57.709999,47.724583,4552000
2010-01-27,58.840000,62.080002,58.830002,61.930000,51.214409,14758500
2010-01-28,62.150002,62.950001,61.310001,62.560001,51.735397,8862500
2010-01-29,62.799999,63.400002,60.320000,60.599998,50.114529,8725400
2010-02-01,60.740002,61.860001,60.720001,61.700001,51.024200,5919900
2010-02-02,61.290001,62.000000,61.000000,61.939999,51.222679,7862300
2010-02-03,61.520000,61.799999,60.849998,61.459999,51.172714,5480600
2010-02-04,60.950001,61.169998,59.250000,59.320000,49.390915,7490700
2010-02-05,59.209999,59.740002,57.139999,58.400002,48.624905,9675700
2010-02-08,58.330002,58.970001,57.779999,57.889999,48.200272,4724500
2010-02-09,58.619999,60.430000,58.389999,59.740002,49.740616,8250900
2010-02-10,59.709999,60.049999,58.939999,59.540001,49.574089,4237100
2010-02-11,59.750000,60.750000,58.939999,60.590000,50.448338,4395800
2010-02-12,59.869999,59.919998,58.930000,59.650002,49.665688,5178300
2010-02-16,60.419998,61.290001,59.900002,61.259998,51.006191,4268700
2010-02-17,61.389999,62.000000,61.000000,61.820000,51.472454,4116200
2010-02-18,61.779999,63.009998,61.720001,62.889999,52.363350,4390300
2010-02-19,62.650002,64.339996,62.650002,63.590000,52.946186,7371100
2010-02-22,63.580002,64.470001,63.189999,63.970001,53.262585,6034100
2010-02-23,63.810001,64.169998,62.250000,62.770000,52.263432,6483800
2010-02-24,63.000000,63.700001,62.639999,63.480000,52.854607,3400400
2010-02-25,62.720001,62.970001,62.000000,62.869999,52.346695,5043100
2010-02-26,63.090000,63.880001,63.029999,63.160000,52.588165,4416000
2010-03-01,63.049999,64.330002,63.000000,64.000000,53.287571,5265600
2010-03-02,64.639999,65.330002,64.360001,64.440002,53.653919,4383200
2010-03-03,64.580002,64.970001,64.050003,64.449997,53.662235,4289400
2010-03-04,65.089996,65.800003,64.849998,65.550003,54.578125,7718700
2010-03-05,66.059998,68.040001,66.029999,67.930000,56.559757,8505600
2010-03-08,68.010002,68.010002,67.129997,67.239998,55.985249,5075600
2010-03-09,67.570000,68.339996,67.349998,67.790001,56.443199,7655900
2010-03-10,68.139999,70.480003,68.029999,70.010002,58.291607,10616500
2010-03-11,70.080002,70.430000,69.150002,70.070000,58.341560,7289500
2010-03-12,70.480003,70.489998,69.250000,69.830002,58.141743,5302100
2010-03-15,69.370003,69.769997,68.519997,69.400002,57.783699,7709000
2010-03-16,69.239998,69.320000,68.300003,68.720001,57.217529,7494400
2010-03-17,68.970001,69.489998,68.290001,69.379997,57.767052,6004300
2010-03-18,69.349998,70.930000,69.190002,70.870003,59.007668,7433700
2010-03-19,70.720001,73.300003,70.720001,70.720001,58.882767,17722500
2010-03-22,71.660004,72.639999,71.510002,71.910004,59.873581,9013600
2010-03-23,72.540001,72.629997,71.510002,72.180000,60.098400,4985400
2010-03-24,72.419998,73.199997,71.779999,72.320000,60.214958,7700000
2010-03-25,72.949997,73.430000,72.000000,72.489998,60.356483,5431000
2010-03-26,72.660004,72.989998,72.349998,72.589996,60.439754,4933700
2010-03-29,73.080002,74.529999,73.000000,74.110001,61.705341,9064200
2010-03-30,73.839996,74.180000,72.699997,73.529999,61.222424,4381300
2010-03-31,72.919998,73.059998,71.949997,72.610001,60.456417,5884600
2010-04-01,73.239998,73.510002,72.300003,72.989998,60.772785,4411000
2010-04-05,72.989998,73.050003,70.949997,72.040001,59.981823,9326300
2010-04-06,71.839996,73.180000,71.769997,72.360001,60.248272,5193800
2010-04-07,72.160004,72.519997,71.470001,72.099998,60.031765,6717200
2010-04-08,71.889999,72.459999,71.209999,72.279999,60.181656,3741500
2010-04-09,72.260002,72.660004,71.809998,72.419998,60.298222,3345700
2010-04-12,72.150002,72.570000,71.800003,71.919998,59.881893,3666100
2010-04-13,71.540001,71.690002,70.500000,71.190002,59.274109,5079300
2010-04-14,70.830002,71.760002,70.809998,71.699997,59.698711,3495900
2010-04-15,71.339996,72.610001,71.339996,72.089996,60.023445,2943700
2010-04-16,72.099998,72.099998,69.879997,70.790001,58.941032,8071300
2010-04-19,70.269997,71.279999,70.160004,70.959999,59.082577,4203100
2010-04-20,71.540001,71.980003,70.949997,71.410004,59.457253,4759600
2010-04-21,71.510002,74.650002,71.510002,74.160004,61.746979,12035700
2010-04-22,74.459999,76.000000,73.680000,75.589996,62.937622,9088900
